,player,index,minutes,total_mins
435,player4,4,32.9,227.8
436,player5,5,30.7,227.8
437,player6,6,23.1,227.8
438,player7,7,18.6,227.8
439,player8,8,17.0,227.8
440,player1,1,33.3,222.0
441,player2,2,32.5,222.0
442,player3,3,31.3,222.0
443,player4,4,29.7,222.0
444,player5,5,27.4,222.0
445,player6,6,25.9,222.0
446,player7,7,24.1,222.0
447,player8,8,17.8,222.0
448,player1,1,34.0,219.1
449,player2,2,33.7,219.1
450,player3,3,27.9,219.1
451,player4,4,27.4,219.1
452,player5,5,26.7,219.1
453,player6,6,24.9,219.1
454,player7,7,22.3,219.1
455,player8,8,22.2,219.1
456,player1,1,35.0,207.4
457,player2,2,33.5,207.4
458,player3,3,27.9,207.4
459,player4,4,24.5,207.4
460,player5,5,22.8,207.4
461,player6,6,22.3,207.4
462,player7,7,21.8,207.4
463,player8,8,19.6,207.4
464,player1,1,28.2,185.89999999999998
465,player2,2,27.8,185.89999999999998
466,player3,3,26.0,185.89999999999998
467,player4,4,25.8,185.89999999999998
468,player5,5,22.6,185.89999999999998
469,player6,6,21.4,185.89999999999998
470,player7,7,21.2,185.89999999999998
471,player8,8,12.9,185.89999999999998
472,player1,1,39.7,227.3
473,player2,2,35.5,227.3
474,player3,3,35.0,227.3
475,player4,4,29.2,227.3
476,player5,5,24.1,227.3
477,player6,6,22.6,227.3
478,player7,7,21.2,227.3
479,player8,8,20.0,227.3
480,player1,1,39.8,242.3
481,player2,2,38.7,242.3
482,player3,3,35.7,242.3
483,player4,4,31.6,242.3
484,player5,5,27.0,242.3
485,player6,6,24.1,242.3
486,player7,7,22.8,242.3
487,player8,8,22.6,242.3
488,player1,1,36.0,249.5
489,player2,2,35.7,249.5
490,player3,3,34.2,249.5
491,player4,4,33.8,249.5
492,player5,5,33.0,249.5
493,player6,6,30.6,249.5
494,player7,7,23.2,249.5
495,player8,8,23.0,249.5
496,player1,1,38.2,247.3
497,player2,2,37.8,247.3
498,player3,3,36.4,247.3
499,player4,4,33.5,247.3
500,player5,5,30.9,247.3
501,player6,6,26.2,247.3
502,player7,7,23.8,247.3
503,player8,8,20.5,247.3
504,player1,1,37.2,222.7
505,player2,2,34.0,222.7
506,player3,3,33.5,222.7
507,player4,4,30.6,222.7
508,player5,5,25.3,222.7
509,player6,6,24.0,222.7
510,player7,7,19.2,222.7
511,player8,8,18.9,222.7
512,player1,1,39.3,230.0
513,player2,2,38.3,230.0
514,player3,3,37.0,230.0
515,player4,4,29.1,230.0
516,player5,5,23.2,230.0
517,player6,6,21.9,230.0
518,player7,7,21.4,230.0
519,player8,8,19.8,230.0
520,player1,1,38.5,221.5
521,player2,2,33.4,221.5
